Qualifying Name,Name of Area,FIPS,Nation,State,LEA,School,SchoolDigger Number of Stars Elementary,SchoolDigger Number of Stars High,SchoolDigger Number of Stars Middle,SchoolDigger Rank Elementary,SchoolDigger Rank High,SchoolDigger Rank Middle,SchoolDigger Rank Of Elementary,SchoolDigger Rank Of High,SchoolDigger Rank Of Middle,Number of All students (no value means redacted),Number of White students (no value means redacted),Number of Black non-Hispanic students (no value means redacted),Number of Asian students (no value means redacted),Number of Hispanic students (no value means redacted),Number of American Indian/Alaska Native students (no value means redacted),Number of Hawaiian Native/Pacific Islander students (no value means redacted),Number of students with Two or More Races (no value means redacted),Total Student membership/Full-Time-Equvalent teachers (no value means redacted),% Number of White students (no value means redacted),% Number of Black non-Hispanic students (no value means redacted),% Number of Asian students (no value means redacted),% Number of Hispanic students (no value means redacted),% Number of American Indian/Alaska Native students (no value means redacted),% Number of Hawaiian Native/Pacific Islander students (no value means redacted),% Number of students with Two or More Races (no value means redacted),Number of Charter schools,Number of Students Receiving Free or DisNumbered Lunch (no value means redacted),Number of Private Schools,Number of Magnet schools,Number of Virtual schools
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_LEA,Geo_SCHOOL,SE_T001_001,SE_T001_002,SE_T001_003,SE_T001_004,SE_T001_005,SE_T001_006,SE_T001_007,SE_T001_008,SE_T001_009,SE_T002_001,SE_T002_002,SE_T002_003,SE_T002_004,SE_T002_005,SE_T002_006,SE_T002_007,SE_T002_008,SE_T002_009,PCT_SE_T002_002,PCT_SE_T002_003,PCT_SE_T002_004,PCT_SE_T002_005,PCT_SE_T002_006,PCT_SE_T002_007,PCT_SE_T002_008,SE_T003_001,SE_T003_002,SE_T003_003,SE_T003_004,SE_T003_005
Alabama,Alabama,1,0,1,,,2.50962963,2.511049724,2.509259259,338,181.5,216.5,675,362,432,742444,404730,243723,10786,58804,6934,840,16627,18.67071161,54.51,32.83,1.45,7.92,0.93,0.11,2.24,1,414430,0,39,4
Alaska,Alaska,2,0,2,,,2.535135135,2.571428571,2.525252525,93,39,50,185,77,99,132872,63227,3866,7785,8868,30415,3914,14797,18.03472222,47.58,2.91,5.86,6.67,22.89,2.95,11.14,29,58855,0,32,0
Arizona,Arizona,4,0,4,,,2.502429543,2.519163763,2.5,515,144,300.5,1029,287,600,1106694,422520,59404,32028,503487,49823,4021,34469,19.50021368,38.18,5.37,2.89,45.49,4.5,0.36,3.11,546,539192,0,0,63
Arkansas,Arkansas,5,0,5,,,2.508196721,2.514184397,2.507836991,244.5,141.5,160,488,282,319,496085,301789,101375,8074,64861,3143,4014,12829,13.61830189,60.83,20.44,1.63,13.07,0.63,0.81,2.59,79,174772,0,27,6
California,California,6,0,6,,,2.500693001,2.503058824,2.502096836,2886.5,1062.778353,1312,5772,2125,2623,6206088,1437356,337891,719671,3366937,32337,28798,273093,22.93453303,23.16,5.44,11.6,54.25,0.52,0.46,4.4,314,3733144,0,509,79
Colorado,Colorado,8,0,8,,,2.506735751,2.506082725,2.508733624,483,206,229.5,965,411,458,910097,486403,41661,28942,306359,6447,2290,37995,18.73402335,53.45,4.58,3.18,33.66,0.71,0.25,4.17,240,379345,0,28,46
Connecticut,Connecticut,9,0,9,,,2.507662835,2.520661157,2.50965251,261.5,61,130,522,121,259,519710,280407,65686,27001,127615,1370,640,16991,16.76270691,53.95,12.64,5.2,24.56,0.26,0.12,3.27,23,188470,0,85,0
Delaware,Delaware,10,0,10,,,2.576470588,2.5,2.685714286,43,15.5,18,85,30,35,136046,60112,41155,5271,23707,531,182,5088,15.04770642,44.19,30.25,3.87,17.43,0.39,0.13,3.74,24,0,0,3,0
District of Columbia,District of Columbia,11,0,11,,,2.532786885,2.676470588,2.586666667,61.5,17.5,38,122,34,75,86360,9649,59043,1371,14158,132,76,1931,16.02276786,11.17,68.37,1.59,16.39,0.15,0.09,2.24,108,0,0,6,1
Florida,Florida,12,0,12,,,2.502770083,2.505464481,2.502312673,1083.5,366.5,541,2166,732,1081,2833093,1077901,626557,77817,938240,8501,4744,99333,17.19394022,38.05,22.12,2.75,33.12,0.3,0.17,3.51,631,1622676,0,573,210
Georgia,Georgia,13,0,13,,,2.504862237,2.514942529,2.504537205,617.5,218,276,1234,435,551,1768642,701424,648917,72392,275991,3440,1839,64639,15.22196837,39.66,36.69,4.09,15.6,0.19,0.1,3.65,89,1071580,0,15,6
Hawaii,Hawaii,15,0,15,,,2.533333333,2.576923077,2.536231884,98,26.5,35,195,52,69,180837,22088,3103,51712,25721,443,51721,26049,15.12671233,12.21,1.72,28.6,14.22,0.24,28.6,14.4,35,85219,0,0,1
Idaho,Idaho,16,0,16,,,2.5,,2.627906977,85.5,,22,170,,43,301186,227185,3245,3720,54546,3445,962,8083,17.32101648,75.43,1.08,1.24,18.11,1.14,0.32,2.68,57,132394,0,19,17
Illinois,Illinois,17,0,17,,,2.5,2.505698006,2.5,1050.5,351.4330484,690.5,2100,702,1380,1992313,956547,334717,101316,522393,5552,2080,69708,15.68890262,48.01,16.8,5.09,26.22,0.28,0.1,3.5,140,983831,0,146,1
Indiana,Indiana,18,0,18,,,2.50242483,2.506426735,2.5,516,194.9820051,235.5,1031,389,470,1053857,715625,132831,25475,125674,2103,804,51345,17.45099409,67.91,12.6,2.42,11.93,0.2,0.08,4.87,92,523325,0,26,6
Iowa,Iowa,19,0,19,,,2.509700176,2.5,2.512578616,284,160.478125,159.5,567,320,318,502878,381678,30882,12683,54444,1805,1350,20036,15.21283219,75.9,6.14,2.52,10.83,0.36,0.27,3.98,2,201603,0,0,4
Kansas,Kansas,20,0,20,,,2.508245877,2.52,2.510869565,334,162.9969231,184.5,667,325,368,491481,315772,33739,13924,96486,4200,937,25576,14.26934866,64.25,6.86,2.83,19.63,0.85,0.19,5.2,9,233780,0,32,16
Kentucky,Kentucky,21,0,21,,,2.50862069,2.514184397,2.512048193,348.5,141.4787234,166.5,696,282,332,680978,523010,71831,12135,45801,839,850,26512,16.75520984,76.8,10.55,1.78,6.73,0.12,0.12,3.89,0,406311,0,61,41
Louisiana,Louisiana,22,0,22,,,2.505420054,2.512820513,2.513513514,369.498645,156.4967949,222.5,738,312,444,715135,319584,311705,11353,49529,4682,549,17733,17.6142646,44.69,43.59,1.59,6.93,0.65,0.08,2.48,145,387083,0,42,3
Maine,Maine,23,0,23,,,2.523622047,2.552631579,2.576470588,127.5,57.5,43,254,114,85,175324,156555,6452,2616,3942,1137,196,4426,11.80544815,89.29,3.68,1.49,2.25,0.65,0.11,2.52,11,78522,0,1,2
Maryland,Maryland,24,0,24,,,2.506447831,2.528985507,2.517571885,427,69.5,157,853,138,313,893684,333552,301537,58823,155346,2387,1300,40739,14.88376812,37.32,33.74,6.58,17.38,0.27,0.15,4.56,49,415361,0,97,0
Massachusetts,Massachusetts,25,0,25,,,2.504246285,2.516949153,2.508032129,471.5,177.5,249.5,942,354,498,953873,573083,86292,65657,191117,2101,814,34592,20.28648796,60.08,9.05,6.88,20.04,0.22,0.09,3.63,79,0,0,0,2
Michigan,Michigan,26,0,26,,,2.503909026,2.509009009,2.503160556,704,333.5,396,1407,666,791,1472090,978256,261228,49832,114895,9227,1273,57379,23.70215466,66.45,17.75,3.39,7.8,0.63,0.09,3.9,358,740558,0,374,111
Minnesota,Minnesota,27,0,27,,,2.502910361,2.508130081,2.5,430,246.5,265.5,859,492,530,884944,588238,97669,60101,82283,14212,697,41744,15.07877647,66.47,11.04,6.79,9.3,1.61,0.08,4.72,215,328701,0,80,30
Mississippi,Mississippi,28,0,28,,,2.513853904,2.52360515,2.522727273,199,117,132.5,397,233,264,478321,211367,232152,5156,17920,1168,306,10252,15.64688889,44.19,48.53,1.08,3.75,0.24,0.06,2.14,3,356365,0,15,0
Missouri,Missouri,29,0,29,,,2.50240616,2.505966587,2.511711712,520,210,278,1039,419,555,910386,646610,145172,18347,58485,3422,2444,35906,13.09837363,71.03,15.95,2.02,6.42,0.38,0.27,3.94,64,462909,0,30,2
Montana,Montana,30,0,30,,,2.544715447,2.521008403,2.5,62,60,30.5,123,119,60,146657,115424,1264,1120,6836,16315,335,5362,11.31848225,78.7,0.86,0.76,4.66,11.12,0.23,3.66,0,64961,0,0,0
Nebraska,Nebraska,31,0,31,,,2.508849558,2.525345622,2.522267206,226.5,109,124,452,217,247,323766,215236,21654,8959,60839,4378,450,12250,13.24227318,66.48,6.69,2.77,18.79,1.35,0.14,3.78,0,142495,0,0,4
Nevada,Nevada,32,0,32,,,2.510309278,2.548148148,2.51572327,194.5,67.97777778,80,388,135,159,485551,157594,53847,26671,205973,4296,6873,30297,20.45891473,32.46,11.09,5.49,42.42,0.88,1.42,6.24,74,284187,0,53,5
New Hampshire,New Hampshire,33,0,33,,,2.52360515,2.535211268,2.53125,117,36,64.5,233,71,128,178308,152374,3592,5931,9948,465,166,5832,11.89793388,85.46,2.01,3.33,5.58,0.26,0.09,3.27,31,47169,0,1,2
New Jersey,New Jersey,34,0,34,,,2.504065041,2.515662651,2.508379888,677,208,358.5,1353,415,716,1370676,605462,205595,139835,388009,1766,2908,27101,12.62339134,44.17,15,10.2,28.31,0.13,0.21,1.98,86,519525,0,0,0
New Mexico,New Mexico,35,0,35,,,2.514360313,2.521978022,2.532258065,192,91.5,93.5,383,182,186,334188,77686,6431,3833,206118,33379,465,6276,15.3286215,23.25,1.92,1.15,61.68,9.99,0.14,1.88,89,244540,0,0,5
New York,New York,36,0,36,,,2.50227932,,2.501737318,1207,,720,2413,,1439,2697340,1167330,462099,250784,726968,18915,6859,64385,13.16680593,43.28,17.13,9.3,26.95,0.7,0.25,2.39,273,1477582,0,118,0
North Carolina,North Carolina,37,0,37,,,2.501711157,2.5,2.507607192,731,255.5,362,1461,510,723,1553513,749543,393642,51709,271320,19036,2148,66115,15.39347496,48.25,25.34,3.33,17.46,1.23,0.14,4.26,173,868114,0,188,4
North Dakota,North Dakota,38,0,38,,,2.51980198,2.576923077,2.625,101.5,26.46153846,16.5,202,52,32,111757,86462,5513,1771,5527,9446,306,2732,11.05334728,77.37,4.93,1.58,4.95,8.45,0.27,2.44,0,34868,0,0,0
Ohio,Ohio,39,0,39,,,2.503579952,2.507177033,2.5,838.4988067,418.5,525.4971429,1676,836,1050,1702623,1190916,282339,40793,97213,2102,1401,87859,19.19252824,69.95,16.58,2.4,5.71,0.12,0.08,5.16,309,437728,0,0,13
Oklahoma,Oklahoma,40,0,40,,,2.509708738,,2.51754386,206.5,,114.5,412,,228,695092,339563,59876,14096,119766,94443,2488,64860,17.182894,48.85,8.61,2.03,17.23,13.59,0.36,9.33,57,431027,0,0,11
Oregon,Oregon,41,0,41,,,2.503566334,2.510373444,2.514745308,351,120.9958506,187,701,241,373,572470,357315,13032,23097,132201,7544,4187,35094,19.1775543,62.42,2.28,4.03,23.09,1.32,0.73,6.13,128,272748,0,0,28
Pennsylvania,Pennsylvania,42,0,42,,,2.50390625,2.505813953,2.50678733,768.5,344.5,442.5,1536,688,884,1706697,1125759,248020,67005,194849,2614,1445,67005,14.70398488,65.96,14.53,3.93,11.42,0.15,0.08,3.93,177,795344,0,54,14
Rhode Island,Rhode Island,44,0,44,,,2.539393939,2.596491228,2.611111111,83,29,27.5,165,57,54,141448,81512,12151,4687,35924,1047,246,5881,13.75162338,57.63,8.59,3.31,25.4,0.74,0.17,4.16,29,66153,0,0,1
South Carolina,South Carolina,45,0,45,,,2.508634223,2.518018018,2.508038585,319,111.5,156,637,222,311,777366,394694,261314,12351,73628,2540,1050,31684,14.88296112,50.77,33.62,1.59,9.47,0.33,0.14,4.08,58,512022,0,125,2
South Dakota,South Dakota,46,0,46,,,2.529411765,2.528985507,2.537414966,102.5,69.49275362,74,204,138,147,137298,101467,4411,2450,8185,15173,153,5459,12.86226415,73.9,3.21,1.78,5.96,11.05,0.11,3.98,0,51412,0,0,9
Tennessee,Tennessee,47,0,47,,,2.506598985,2.511695906,2.510452962,493,171.5,287.5,985,342,574,1001967,629502,219426,19811,103177,1649,1096,27306,15.7349242,62.83,21.9,1.98,10.3,0.16,0.11,2.73,107,0,0,123,17
Texas,Texas,48,0,48,,,2.500565483,2.501359434,2.501885014,2211,920,1061.5,4421,1839,2122,5401341,1504977,681267,235515,2828492,20592,8027,122471,17.51503168,27.86,12.61,4.36,52.37,0.38,0.15,2.27,709,3169088,0,252,7
Utah,Utah,49,0,49,,,2.507575758,2.544715447,2.523255814,264.5,62,86.5,528,123,172,668274,497368,9533,11362,114573,7117,10518,17800,,74.43,1.43,1.7,17.14,1.06,1.57,2.66,130,227621,0,22,18
Vermont,Vermont,50,0,50,,,2.528169014,2.630434783,2.5,71.5,23.5,40.5,142,46,80,84348,75921,1770,1741,1735,127,58,2996,12.01186441,90.01,2.1,2.06,2.06,0.15,0.07,3.55,0,32171,0,2,0
Virginia,Virginia,51,0,51,,,2.503629764,2.516819572,2.505938242,551.4981851,164,211,1102,327,421,1291462,632096,288956,90299,203071,3485,2045,71510,15.10559742,48.94,22.37,6.99,15.72,0.27,0.16,5.54,8,560281,0,125,0
Washington,Washington,53,0,53,,,2.505328597,2.514492754,2.511627907,563.5,207.5,258.5,1126,414,516,1110367,603896,48441,85396,257984,13554,12141,88955,18.49360626,54.39,4.36,7.69,23.23,1.22,1.09,8.01,10,477543,0,49,24
West Virginia,West Virginia,54,0,54,,,2.50656168,2.552631579,2.5,191,57.5,85.5,381,114,170,272266,245227,11653,1812,4821,251,117,8379,14.45969925,90.07,4.28,0.67,1.77,0.09,0.04,3.08,0,0,0,0,0
Wisconsin,Wisconsin,55,0,55,,,2.505628518,2.509950249,2.50974026,533.5,201.5,308.5,1066,402,616,860752,601240,79006,34180,103431,9637,667,32569,17.76092418,69.85,9.18,3.97,12.02,1.12,0.08,3.78,222,319045,0,10,40
Wyoming,Wyoming,56,0,56,,,2.535947712,2.571428571,2.578947368,77,39,38.5,153,77,76,94258,73420,1047,768,12945,3467,136,2475,11.38901099,77.89,1.11,0.81,13.73,3.68,0.14,2.63,5,34938,0,0,0
